06_integration/fredholm_integral_equation.py | epochs=50000 | rel_L2=1.974346e-04
06_integration/heat_time_mean.py | epochs=10000 | rel_L2_u=0.000000e+00 | rel_L2_mean=2.629577e-04
05_coupled_and_inverse/bayesian_inverse_parameter.py | epochs=800 | rel_A=0.0015 | rel_B=0.0566
01_basics/bayesian_poisson_1d.py | epochs=1200 | rel_L2_mean=0.6293 | max_band_width=0.2119
01_basics/bayesian_poisson_1d.py | epochs=1200 | rel_L2_mean=0.7301 | max_band_width=0.2870
01_basics/bayesian_poisson_1d.py | epochs=1200 | rel_L2_mean=0.7301 | max_band_width=0.2870
02_elliptic/bayesian_source_recovery_1d.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
05_coupled_and_inverse/bayesian_inverse_parameter.py | epochs=800 | rel_A=0.0015 | rel_B=0.0566
01_basics/bayesian_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7301 | max_band_width=0.2870
02_elliptic/bayesian_source_recovery_1d.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
01_basics/bayesian_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7301 | max_band_width=0.2870
05_coupled_and_inverse/bayesian_inverse_parameter.py | epochs=800 | rel_A=0.0015 | rel_B=0.0566
02_elliptic/bayesian_source_recovery_1d.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
05_coupled_and_inverse/bayesian_inverse_parameter.py | epochs=800 | rel_A=0.0119 | rel_B=0.0381
02_elliptic/bayesian_source_recovery_1d.py | epochs=230 | rel_A=0.6777 | CI_width=4.3538
02_elliptic/bayesian_source_recovery_1d.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
10_bayesian_pinns/01_forward_noisy_poisson_1d.py | epochs=2800 | rel_L2_mean=2.6265 | max_band_width=0.3355
10_bayesian_pinns/01_forward_noisy_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7300 | max_band_width=0.2870
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=230 | rel_k=10.2436 | CI_width=6.4466
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=400 | rel_k=0.2755 | CI_width=0.4224
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=300 | rel_k=4.6361 | CI_width=2.9257
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=600 | rel_k=4.6360 | CI_width=2.9257
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=600 | rel_k=4.6360 | CI_width=2.9257
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=600 | rel_k=0.8441 | CI_width=0.1363
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=400 | rel_k=0.0892 | CI_width=0.4333
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.4175 | CI_width=1.0996
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.4175 | CI_width=1.0996
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0055 | CI_width=0.6714
10_bayesian_pinns/01_forward_noisy_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7300 | max_band_width=0.2870
10_bayesian_pinns/02_inverse_multi_coefficient.py | epochs=800 | rel_A=0.0119 | rel_B=0.0381
10_bayesian_pinns/03_inverse_source_steady_state.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=400 | rel_k=0.2755 | CI_width=0.4224
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0055 | CI_width=0.6714
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0089 | CI_width=0.6713
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.2788 | CI_width=0.6616
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.7671 | CI_width=0.1363
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.7671 | CI_width=0.1363
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0057 | CI_width=0.6713
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0057 | CI_width=0.6713
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.8535 | CI_width=0.6172
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.8535 | CI_width=0.6172
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1200 | rel_k=0.0057 | CI_width=0.6713
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=800 | rel_k=1.7272 | CI_width=0.5650
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=800 | rel_k=1.0813 | CI_width=0.6462
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=800 | rel_k=1.0813 | CI_width=0.6462
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=800 | rel_k=2.3450 | CI_width=0.9071
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1000 | rel_k=0.0175 | CI_width=0.1826
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=600 | rel_k=1.9183 | CI_width=1.2435
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=600 | rel_k=1.9183 | CI_width=1.2435
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=600 | rel_k=0.0043 | CI_width=0.1461
10_bayesian_pinns/01_forward_noisy_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7300 | max_band_width=0.2870
10_bayesian_pinns/02_inverse_multi_coefficient.py | epochs=800 | rel_A=0.0119 | rel_B=0.0381
10_bayesian_pinns/03_inverse_source_steady_state.py | epochs=230 | rel_A=0.1301 | CI_width=2.7007
10_bayesian_pinns/04_inverse_reaction_coefficient.py | epochs=600 | rel_k=0.0043 | CI_width=0.1461
10_bayesian_pinns/05_inverse_ode_decay.py | epochs=1000 | rel_k=0.0175 | CI_width=0.1826
10_bayesian_pinns/01_forward_noisy_poisson_1d.py | epochs=2800 | rel_L2_mean=0.7300 | max_band_width=0.2870
10_bayesian_pinns/02_inverse_multi_coefficient.py | epochs=800 | rel_A=0.0119 | rel_B=0.0381
10_bayesian_pinns/03_inverse_reaction_coefficient.py | epochs=600 | rel_k=0.0043 | CI_width=0.1461
10_bayesian_pinns/04_inverse_ode_decay.py | epochs=1000 | rel_k=0.0175 | CI_width=0.1826
